"announcement","size","date","time","pdf"
"CiplaQCiL Announcement of intention for Intial Public Offering and Listing on the USE.pdf","0.09MB","2018/08/02","12:52:05","https://www.use.or.ug/uploads/announcements/CiplaQCiL%20Announcement%20of%20intention%20for%20Intial%20Public%20Offering%20and%20Listing%20on%20the%20USE.pdf"
"Jubilee Holdings Limited Half Year Results 2018.pdf","1.50MB","2018/08/30","05:00:00","https://www.use.or.ug/uploads/announcements/Jubilee%20Holdings%20Limited%20Half%20Year%20Results%202018.pdf"
"EGH PLC - UNAUDTIED FINANCIAL STATEMENT FOR THE PERIOD ENDED 31st MARCH 2021.pdf","0.47MB","2021/07/06","11:36:43","https://www.use.or.ug/uploads/announcements/EGH%20PLC%20-%20UNAUDTIED%20FINANCIAL%20STATEMENT%20FOR%20THE%20PERIOD%20ENDED%2031st%20MARCH%202021.pdf"
"Baroda Board Notice for change in Board of Director.pdf","0.29MB","2023/02/15","09:46:12","https://www.use.or.ug/uploads/announcements/Baroda%20Board%20Notice%20for%20change%20in%20Board%20of%20Director.pdf"
"New Vision Half Year Financials December 2021 Advert 17.02.2021.pdf","0.45MB","2022/02/22","08:16:56","https://www.use.or.ug/uploads/announcements/New%20Vision%20Half%20Year%20Financials%20December%202021%20Advert%2017.02.2021.pdf"
"BAT UGANDA 2021 ANNUAL REPORT.pdf","7.75MB","2022/06/02","10:12:21","https://www.use.or.ug/uploads/announcements/BAT%20UGANDA%202021%20ANNUAL%20REPORT.pdf"
"DFCU Announcement of Resignation of Director.pdf","0.04MB","2018/09/24","04:05:36","https://www.use.or.ug/uploads/announcements/DFCU%20Announcement%20of%20Resignation%20of%20Director.pdf"
"SUHL Announcement of New Appointment to Board of Directors.pdf","0.29MB","2023/06/08","10:05:54","https://www.use.or.ug/uploads/announcements/SUHL%20Announcement%20of%20New%20Appointment%20to%20Board%20of%20Directors.pdf"
"EABL - Public Announcement - SKrishnan - 27 July 2023.pdf","0.35MB","2023/07/27","06:56:00","https://www.use.or.ug/uploads/announcements/EABL%20-%20Public%20Announcement%20-%20SKrishnan%20-%2027%20July%202023.pdf"
"EGH PLC PUBLIC ANNOUNCEMENT- EVELYN RUTAGWENDA.pdf","0.24MB","2023/07/03","03:56:40","https://www.use.or.ug/uploads/announcements/EGH%20PLC%20PUBLIC%20ANNOUNCEMENT-%20EVELYN%20RUTAGWENDA.pdf"
"BAT UGANDA AGM Notice .pdf","0.41MB","2023/06/14","08:53:53","https://www.use.or.ug/uploads/announcements/BAT%20UGANDA%20AGM%20Notice%20.pdf"
"Umeme FY2021 Results.pdf","0.12MB","2022/03/28","09:42:19","https://www.use.or.ug/uploads/announcements/Umeme%20FY2021%20Results.pdf"
"EQUITY BANK Notice of Retirement of Group Chairman and Appointment of Chairman Designate.pdf","0.22MB","2018/07/26","08:32:35","https://www.use.or.ug/uploads/announcements/EQUITY%20BANK%20Notice%20of%20Retirement%20of%20Group%20Chairman%20and%20Appointment%20of%20Chairman%20Designate.pdf"
"UCL Extract from Financial Statements FY 2021.pdf","0.63MB","2022/04/14","11:05:39","https://www.use.or.ug/uploads/announcements/UCL%20Extract%20from%20Financial%20Statements%20FY%202021.pdf"
"DFCU Announcement of Appointment of Chief Executive Officer.pdf","0.94MB","2018/11/02","12:32:57","https://www.use.or.ug/uploads/announcements/DFCU%20Announcement%20of%20Appointment%20of%20Chief%20Executive%20Officer.pdf"
"New Vision Half Year Financials December 2020.pdf","0.47MB","2021/02/19","01:42:08","https://www.use.or.ug/uploads/announcements/New%20Vision%20Half%20Year%20Financials%20December%202020.pdf"
"BOBU AGM Minutes 26.08.2021.pdf","0.68MB","2022/06/24","10:27:19","https://www.use.or.ug/uploads/announcements/BOBU%20AGM%20Minutes%2026.08.2021.pdf"
"CENTUM EXTRAORDINARY GENERAL MEETING POLLING RESULTS.pdf","1.00MB","2023/02/06","11:24:52","https://www.use.or.ug/uploads/announcements/CENTUM%20EXTRAORDINARY%20GENERAL%20MEETING%20POLLING%20RESULTS.pdf"
"BAT Uganda - Annual Report and Financial Statements for FY 2020.pdf","14.38MB","2021/05/04","03:25:34","https://www.use.or.ug/uploads/announcements/BAT%20Uganda%20-%20Annual%20Report%20and%20Financial%20Statements%20for%20FY%202020.pdf"
"New Vision Appointment of New Non Executive Directors.pdf","0.75MB","2018/11/27","10:50:07","https://www.use.or.ug/uploads/announcements/New%20Vision%20Appointment%20of%20New%20Non%20Executive%20Directors.pdf"
"BAT UGANDA - AGM PROXY FORM - 2022.pdf","0.04MB","2022/05/25","03:48:59","https://www.use.or.ug/uploads/announcements/BAT%20UGANDA%20-%20AGM%20PROXY%20FORM%20-%202022.pdf"
"MD appointment notice.pdf","0.65MB","2021/03/31","09:39:26","https://www.use.or.ug/uploads/announcements/MD%20appointment%20notice.pdf"
"USE Annual Report 2020.pdf","4.27MB","2022/01/28","11:57:39","https://www.use.or.ug/uploads/announcements/USE%20Annual%20Report%202020.pdf"
"NIC Post AGM Notice - 20th AGM.pdf","0.09MB","2021/06/29","10:36:07","https://www.use.or.ug/uploads/announcements/NIC%20Post%20AGM%20Notice%20-%2020th%20AGM.pdf"
